num_syllables,pos,year,fog_index,flesch_index,num_words,num_lines,title,f_k_grade,artist,difficult_words,num_dupes,neg,neu,compound,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,analysis_url,Genre,Gender
172.8,0.158,1953,4.8,98.21,142,18,Say You're Mine Again,1.3,Perry Como,11,5,0.067,0.775,0.9369,2JIfFyJO0AQzmm83lzdrNg,0.687,0.111,2,-12.723,0,0.0435,0.965,0,0.285,0.408,75.555,173933,4,spotify:track:2JIfFyJO0AQzmm83lzdrNg,https://api.spotify.com/v1/audio-analysis/2JIfFyJO0AQzmm83lzdrNg,jazz,male
388.8,0.087,1953,4.8,98.21,325,43,Tell Me A Story,1.3,Frankie Laine,31,14,0.059,0.853,0.8798,1THl7yjezM9SW8x2taVS5w,0.835,0.366,1,-8.215,1,0.0532,0.807,0,0.105,0.961,122.095,130933,4,spotify:track:1THl7yjezM9SW8x2taVS5w,https://api.spotify.com/v1/audio-analysis/1THl7yjezM9SW8x2taVS5w,,male
107.1,0.293,1953,3.6,101.26,92,19,C'est Si Bon,0.1,Eartha Kitt,9,4,0,0.707,0.9844,5ltdjMGizJoqS5x7rZzij2,0.447,0.324,5,-12.482,0,0.07,0.832,0,0.0703,0.546,152.68,177400,4,spotify:track:5ltdjMGizJoqS5x7rZzij2,https://api.spotify.com/v1/audio-analysis/5ltdjMGizJoqS5x7rZzij2,jazz,female
180,0.166,1954,3.6,92.8,139,34,Wanted,1.3,Perry Como,15,28,0.149,0.685,0.5852,5tAipU3eQhBly8sJQyn5c8,0.36,0.232,1,-11.214,0,0.029,0.879,2.08E-05,0.374,0.427,72.773,184467,4,spotify:track:5tAipU3eQhBly8sJQyn5c8,https://api.spotify.com/v1/audio-analysis/5tAipU3eQhBly8sJQyn5c8,jazz,male
221.4,0.2,1954,4.4,107.69,195,28,Hey There,-0.3,Rosemary Clooney,10,10,0.037,0.763,0.9878,0hNwfLcROljm0Wk9zWIQ6z,0.445,0.101,7,-15.386,0,0.0367,0.97,2.98E-05,0.144,0.206,88.163,178333,5,spotify:track:0hNwfLcROljm0Wk9zWIQ6z,https://api.spotify.com/v1/audio-analysis/0hNwfLcROljm0Wk9zWIQ6z,swing,female
131.4,0.25,1954,4.4,90.77,105,16,Secret Love,2.1,Doris Day,10,6,0.052,0.698,0.9815,2YqfGrsn017nC17cx84Onq,0.291,0.122,11,-16.075,1,0.0337,0.957,0.00139,0.129,0.179,132.677,218240,4,spotify:track:2YqfGrsn017nC17cx84Onq,https://api.spotify.com/v1/audio-analysis/2YqfGrsn017nC17cx84Onq,jazz,female
198,0.206,1954,4,108.7,173,34,Young At Heart,-0.7,Frank Sinatra,11,15,0.007,0.787,0.9903,4nt9FMhCYn37XcGEUogNXi,0.268,0.248,8,-11.628,1,0.0351,0.766,0,0.385,0.408,85.54,169347,3,spotify:track:4nt9FMhCYn37XcGEUogNXi,https://api.spotify.com/v1/audio-analysis/4nt9FMhCYn37XcGEUogNXi,,male
414,0.059,1954,4.4,90.77,322,49,This Ole House,2.1,Rosemary Clooney,25,27,0.11,0.831,-0.9,3reMY0PF49alfXMs30c2z4,0.689,0.723,0,-8.079,1,0.0483,0.755,0,0.248,0.962,105.913,142267,4,spotify:track:3reMY0PF49alfXMs30c2z4,https://api.spotify.com/v1/audio-analysis/3reMY0PF49alfXMs30c2z4,swing,female
327.6,0.137,1954,5.6,87.72,253,27,Cross Over The Bridge,3.3,Patti Page,17,17,0.119,0.743,0.8836,4OAEEIyG2E9t0lHUXnmTan,0.573,0.615,4,-9.976,1,0.112,0.692,0,0.172,0.865,134.177,156160,3,spotify:track:4OAEEIyG2E9t0lHUXnmTan,https://api.spotify.com/v1/audio-analysis/4OAEEIyG2E9t0lHUXnmTan,jazz,female
293.4,0.189,1954,5.2,80.28,215,24,That's Amore,4.1,Dean Martin,21,20,0,0.811,0.9902,7ha6LU5Dle7FGBh0I9LZIa,0.505,0.155,10,-12.959,1,0.0336,0.663,0,0.101,0.463,79.221,188467,4,spotify:track:7ha6LU5Dle7FGBh0I9LZIa,https://api.spotify.com/v1/audio-analysis/7ha6LU5Dle7FGBh0I9LZIa,jazz,male
190.8,0.292,1954,4.4,99.23,158,25,Answer Me My Love,0.9,Nat King Cole,9,11,0.089,0.619,0.9919,3baoVFZ8zcG1uH8qnm59Hf,0.25,0.213,2,-15.65,1,0.0321,0.912,0,0.342,0.267,81.766,176960,1,spotify:track:3baoVFZ8zcG1uH8qnm59Hf,https://api.spotify.com/v1/audio-analysis/3baoVFZ8zcG1uH8qnm59Hf,soul,male
